aahe: aahed
dooj: dooja
msay: doomsayer
mwat: doomwatcher
doop: dooputty
doox: dooxidize
paox: dopaoxidase
aoxi: dopaoxidase
dopc: dopchick
pebo: dopebook
lgan: doppelganger
dorj: dorje
dork: dorking
ormm: dormmice
orrb: dorrbeetle
rrbe: dorrbeetle
orrs: dorrs
rsob: dorsobranchiata
rsod: dorsodynia
oevs: dostoevsky
dotc: dotchin
dotk: dotkin
otki: dotkin
ubtm: doubtmonger
btmo: doubtmonger
btou: doubtous
btso: doubtsome
ghfe: doughfeet
hfee: doughfeet
oukh: doukhobor
douv: douvecot
uvec: douvecot
dovy: dovyalis
ovya: dovyalis
vyal: dovyalis
wcet: dowcet
wcot: dowcote
wfar: dowfart
ieit: dowieite
wlas: dowlas
wnda: downdale
wnfe: downfeed
wnfi: downfield
wnfl: downflow
wngy: downgyved
wnra: downrange
wnso: downsome
dowv: dowve
owve: dowve
dozy: dozy
chms: drachms
fsac: draffsack
gont: dragontail
drah: drahthaar
raht: drahthaar
ahth: drahthaar
thaa: drahthaar
htsb: draughtsboard
tsbo: draughtsboard
wbol: drawbolt
wcan: drawcansir
wgea: drawgear
awgl: drawglove
wglo: drawglove
wloo: drawloom
awof: drawoff
awou: drawout
awpl: drawplate
awpo: drawpoint
rawr: drawrod
wrod: drawrod
drch: drch
dnau: dreadnaught
amsy: dreamsy
amwh: dreamwhile
regs: dregs
idls: dreidls
resd: dresden
drev: drevel
yasd: dryasdust
asdu: dryasdust
sdus: dryasdust
dryc: drycoal
ftwe: driftweed
dryg: drygoodsman
dryh: dryhouse
yini: dryinid
rilv: drilvis
dryr: dryrot
rysn: drysne
dryt: dryth
iveh: drivehead
oddu: droddum
rokp: drokpa
okpa: drokpa
ceii: dromiceiidae
ceiu: dromiceius
eius: dromiceius
onkg: dronkgrass
nkgr: dronkgrass
ropb: dropberry
opbe: dropberry
ropc: dropcloth
opcl: dropcloth
ropv: dropvie
pvie: dropvie
shky: droshky
hkie: droshkies
wnde: drownded
wnds: drownds
siho: drowsihood
dgis: drudgism
rukp: drukpa
msle: drumsler
nkom: drunkometer
rury: drury
rusy: drusy
uxey: druxey
ruxy: druxy
druz: druze
dsri: dsri
dten: dtente
dtse: dtset
eltj: dubbeltje
ltje: dubbeltje
ubhg: dubhgall
bhga: dubhgall
dubl: dublin
ducd: ducdame
ucda: ducdame
cdam: ducdame
hesn: duchesnea
kbli: duckblind
ckhu: duckhunting
kmea: duckmeat
kpon: duckpond
kwif: duckwife
uctl: ductless
uctw: ductwork
dudm: dudman
duds: duds
duef: dueful
dufo: dufoil
ufoi: dufoil
enoy: dufrenoysite
uftr: duftry
ftry: duftry
duga: dugal
dugd: dugdug
ugdu: dugdug
gdug: dugdug
duge: dugento
dugs: dugs
dugw: dugway
ugwa: dugway
duha: duhat
uhat: duhat
duhr: duhr
duyk: duyker
uyke: duyker
duim: duim
duja: dujan
ujan: dujan
duka: duka
ukhn: dukhn
ukkh: dukkha
kkha: dukkha
duku: dukuma
dulb: dulbert
llsv: dullsville
lsvi: dullsville
dulw: dulwilly
ulwi: dulwilly
mbco: dumbcow
bcow: dumbcow
umka: dumka
umky: dumky
opfs: dummkopfs
mpok: dumpoke
dunb: dunbird
dunf: dunfish
gbec: dungbeck
gbre: dungbred
duny: duny
nkad: dunkadoo
dunp: dunpickle
dunz: dunziekte
duoc: duocosane
uoco: duocosane
cimf: duodecimfid
uody: duodynatron
uodr: duodrama
uoty: duotype
duov: duoviri
uovi: duoviri
lexs: duplexs
durh: durham
ryod: duryodhana
dusc: duscle
duss: dusserah
stbl: dustblu
tcov: dustcover
ustt: dusttight
stuk: dustuk
dusu: dusun
utym: dutymonger
dutr: dutra
dutu: dutuburi
utub: dutuburi
tyns: duvetyns
uxel: duxelles
xell: duxelles
dvig: dvigu
vigu: dvigu
vorn: dvornik
walm: dwalm
dwam: dwamish
arfn: dwarfness
dwyk: dwyka
wyka: dwyka
dzig: dziggetai
dzun: dzungar
glel: eaglelike
rjew: earjewel
rldu: earlduck
thgr: earthgrubber
hgru: earthgrubber
rthk: earthkin
thki: earthkin
hsmo: earthsmoke
ebbm: ebbman
bbma: ebbman
ebbs: ebbs
ebca: ebcasc
bcdi: ebcdic
cdic: ebcdic
cbas: ecbasis
cbat: ecbatic
stps: ecblastpsis
tpsi: ecblastpsis
ccyc: eccyclema
ccye: eccyesis
faud: echafaudage
dnae: echidnae
dnid: echidnidae
ckeh: eckehart
ecmn: ecmnesia
cmne: ecmnesia
cstr: ecstrophy
ctep: ectepicondylar
ctty: ecttypal
ddai: eddaic
ddyr: eddyroot
dyro: eddyroot
dgre: edgrew
difa: ediface
ediy: ediya
dinb: edinburgh
edmu: edmund
dmun: edmund
edna: edna
edua: eduardo
dsii: edwardsiidae
ffud: effude
ffuv: effuviate
fuvi: effuviate
efik: efik
efov: efoveolate
efph: efph
egbe: egbert
ggcr: eggcrate
ggea: eggeater
ggfi: eggfish
ggfr: eggfruit
ggho: egghot
eggw: eggwhisk
ggwh: eggwhisk
gwhi: eggwhisk
gipt: egipto
ueii: egueiite
isah: ehatisaht
eheu: eheu
ehli: ehlite
ehrw: ehrwaldite
huaw: ehuawa
uawa: ehuawa
ichb: eichbergite
ichh: eichhornia
hhor: eichhornia
yedo: eyedot
yefl: eyeflap
yeis: eyeish
eyem: eyemark
yeop: eyeopener
yero: eyeroot
yesa: eyesalve
yght: eyght
hthl: eighthly
htyf: eightyfold
htpe: eightpenny
eiry: eiry
yrir: eyrir
nhow: eisenhower
foda: eisteddfodau
odau: eisteddfodau
fods: eisteddfods
ejam: ejam
ejic: ejicient
ejoo: ejoo
usde: ejusdem
ekat: ekatantalum
ekeb: ekebergite
khim: ekhimi
ekoi: ekoi
ktod: ektodynamorphic
aiop: elaioplast
bowc: elbowchair
lcaj: elcaja
roaf: electroaffinity
ronv: electronvolt
lekt: elektra
ektr: elektra
leui: eleuin
fenf: elfenfolk
finw: elfinwood
elfk: elfkin
lfsh: elfship
fwif: elfwife
elij: elijah
ijah: elijah
ytrt: elytrtra
trtr: elytrtra
xirs: elixirs
elkd: elkdom
lkdo: elkdom
elkw: elkwood
elmy: elmy
elmw: elmwood
loah: eloah
lrit: elritch
lroq: elroquite
elul: elul
mbap: embaphium
embd: embden
mbde: embden
iidi: embiidina
bonp: embonpoint
ryof: embryoferous
yofe: embryoferous
yois: embryoism
mcei: emceing
emcu: emcumbering
emda: emda
emga: emgalla
emhp: emhpasizing
myds: emyds
mpae: empaestic
mpex: empexa
pexa: empexa
tcis: empiriocritcism
ptyh: emptyhearted
ptyi: emptying
pusa: empusa
mpuz: empuzzle
mrau: emraud
emro: emrode
enaj: enajim
naji: enajim
alyr: enalyron
ncae: encaenia
ncyd: encydlopaedic
cydl: encydlopaedic
ydlo: encydlopaedic
ncui: encuirassed
dgam: endgame
endj: endjunk
ndju: endjunk
dlic: endlichite
doao: endoaortitis
oaor: endoaortitis
doau: endoauscultation
oaus: endoauscultation
emyi: enemying
emyl: enemylike
iaty: energiatye
atye: energiatye
nfoe: enfoeffment
ngao: engaol
nghl: enghle
gysc: engyscope
gyss: engysseismology
gyst: engystomatidae
engj: engjateigur
gjat: engjateigur
eigu: engjateigur
lyns: englyns
engn: engnessang
nhui: enhuile
kidu: enkidu
enmu: enmuffle
eaet: enneaeteric
eagy: enneagynous
oblm: ennoblment
blme: ennoblment
nuie: ennuied
uied: ennuied
uyee: ennuyee
nuyi: ennuying
enph: enphytotic
npia: enpia
enrh: enrheum
erfm: enserfment
gncy: ensigncy
gnci: ensigncies
ignh: ensignhood
ignr: ensignry
gnry: ensignry
ntfa: entfaoilff
tfao: entfaoilff
faoi: entfaoilff
aoil: entfaoilff
ilff: entfaoilff
alpy: enthalpy
mofa: entomofauna
ntte: entte
nvay: envaye
vaye: envaye
rgur: envergure
nzyg: enzygotic
zyms: enzyms
eogh: eoghanacht
epeu: epeus
beib: ephebeibeia
beub: ephebeubea
ubea: ephebeubea
hpha: ephphatha
pidy: epidymides
pigu: epiguanine
pihi: epihippus
ihip: epihippus
keia: epikeia
inyc: epinyctis
nyny: epionynychia
ynyc: epionynychia
pirh: epirhizous
sioh: episiohematoma
skot: episkotister
itrc: epitrchelia
trch: epitrchelia
epiv: epivalve
epix: epixylous
ixyl: epixylous
epoo: epoophoron
poea: epopoean
xyed: epoxyed
eqpt: eqpt
uaev: equaeval
uiar: equiarticulate
uibi: equibiradiate
uicr: equicrural
uiel: equielliptical
uiex: equiexcellency
uigl: equiglacial
quij: equijacent
brir: equilibriria
uilu: equilucent
uimu: equimultiple
uiom: equiomnipotent
iomn: equiomnipotent
ivoq: equivoque
equv: equvalent
quva: equvalent
erdv: erdvark
rgme: ergmeter
htoi: erichtoid
ryht: eryhtrism
yhtr: eryhtrism
inys: erinys
ysib: erysibe
rrsy: errsyn
vipi: ervipiame
rvum: ervum
rzah: erzahler
zahl: erzahler
sbat: esbatement
schs: eschscholtzia
esgu: esguard
imoe: eskimoes
moiz: eskimoized
kual: eskualdun
necy: esnecy
sopg: esopgi
yica: essayical
stoq: estoque
eott: etchareottine
ethc: ethchlorvynol
hchl: ethchlorvynol
orvy: ethchlorvynol
rvyn: ethchlorvynol
vyno: ethchlorvynol
ldel: etheneldeli
hysu: ethysulphuric
hmyp: ethmyphitis
hmof: ethmofrontal
mofr: ethmofrontal
hnal: ethnal
hnof: ethnoflora
ycaf: ethoxycaffeine
tnea: etnean
euah: euahlayi
uahl: euahlayi
hlay: euahlayi
eubr: eubranchipus
eubt: eubteria
pteo: eucalypteol
eucg: eucgia
ucgi: eucgia
cgia: eucgia
hlae: euchlaena
ucyc: eucyclic
eucn: eucnemidae
ucne: eucnemidae
euec: euectic
uect: euectic
euem: euemerism
eufl: euflavine
uhed: euhedral
eukt: euktolite
ukto: euktolite
lpiq: eumolpique
euod: euodic
uort: euorthoptera
euos: euosmite
uosm: euosmite
euou: euouae
uoua: euouae
ouae: euouae
phue: euphues
pyrc: eupyrchroite
yrch: eupyrchroite
upot: eupotamic
rycl: euryclea
uryd: eurydice
uryh: euryhaline
ryha: euryhaline
ypyl: eurypylous
rysc: euryscope
hmie: eurythmies
uryz: euryzygous
ryzy: euryzygous
eusc: euscaro
eusy: eusynchite
euso: eusol
vadn: evadne
cenr: evanescenrly
enrl: evanescenrly
nrly: evanescenrly
evej: evejar
veja: evejar
eveq: eveque
vequ: eveque
rwho: everwho
evew: eveweed
lsay: evilsayer
evoe: evoe
vviv: evviva
xaes: exaestuate
xams: exams
xapp: exappendiculate
xare: exareolate
xauc: exauctorate
xaud: exaudi
xaun: exaun
zeex: exauthorizeexc
xcau: excaudate
xced: excedent
rpto: excerptor
rpts: excerpts
xcir: excircle
itov: excitovascular
xclo: exclosure
xcoe: excoecaria
xcon: exconjugant
xcri: excriminate
xdel: exdelicto
xdie: exdie
exea: exeat
xece: execeptional
xecs: execs
xect: exect
rixs: executrixship
ixsh: executrixship
lupl: exemplupla
exeu: exeunt
xeun: exeunt
exfe: exfetation
xfle: exflect
exgo: exgorgitation
xgor: exgorgitation
xhan: exhance
exhb: exhbn
xhbn: exhbn
xhus: exhusband
exla: exla
xlex: exlex
xmer: exmeridian
exmo: exmoor
xmoo: exmoor
xoar: exoarteritis
xocc: exoccipital
oelu: exocoelum
xogy: exogyra
xogo: exogonium
xolu: exolution
xolv: exolve
xonu: exonuclease
xorg: exorganic
xorh: exorhason
xorm: exormia
xort: exortion
xosc: exosculation
xpal: expalpate
expd: expdt
xpdt: expdt
xpet: expetible
expy: expy
xpri: exprimable
xptl: exptl
xpui: expuition
expw: expwy
xpwy: expwy
exru: exrupeal
xrup: exrupeal
exrx: exrx
lpta: exsculptate
xseq: exsequatur
xshe: exsheath
xsil: exsiliency
xspo: exspoliation
xsud: exsudate
xsus: exsuscitate
extg: extg
exty: extypal
xtog: extogenous
xtoo: extoolitic
raeq: extraequilibrium
aovu: extraovular
xtun: extund
xucc: exuccous
xuco: exucontian
xula: exulate
xuld: exulding
xulu: exululate
xupe: exuperable
xurg: exurge
xusc: exuscitate
xust: exust
exxo: exxon
xxon: exxon
exzo: exzodiacal
xzod: exzodiacal
ezod: ezod
ezra: ezra
faad: faade
aade: faade
faai: faailk
aail: faailk
cecl: facecloth
ceha: faceharden
ceup: faceup
edny: fadednyess
dnye: fadednyess
fady: fady
fadl: fadlike
fadr: fadridden
fads: fads
aenc: faence
fafn: fafnir
fnir: fafnir
fags: fags
ahlo: fahlore
nhet: fahrenhett
fayi: faying
faik: faikes
fayl: fayles
lsaf: failsafe
lsof: failsoft
faip: faipule
iryd: fairydom
ryfl: fairyfloss
iryh: fairyhood
irys: fairyship
airk: fairkeeper
fayu: fayumic
ayum: fayumic
faky: faky
fako: fakofo
kofo: fakofo
lcun: falcunculus
ldet: faldetta
lsef: falseface
lsum: falsum
luns: faluns
falx: falx
famb: famble
ameu: fameuse
cyin: fancying
ncym: fancymonger
ncyw: fancywork
cywo: fancywork
fanh: fanhouse
fank: fankle
tasq: fantasque
teeg: fanteeg
anwr: fanwright
faon: faon
fape: fapesmo
qirs: faqirs
uirs: faquirs
rmto: farmtown
mwif: farmwife
gdea: farthingdeal
tlek: fartlek
farw: farweltered
fase: fasels
fasn: fasnacht
faso: fasola
tiia: fastiia
fatc: fatcake
ihah: fatihah
atuu: fatuus
fauf: faufel
ufel: faufel
faug: faugh
aujd: faujdar
ulkl: faulkland
ulkn: faulkner
aulx: faulx
aunl: faunlike
auxb: fauxbourdon
uxbo: fauxbourdon
xbou: fauxbourdon
fava: favaginous
favn: favn
vuse: favuses
fawk: fawkener
wken: fawkener
wnsk: fawnskin
fdty: fdtype
feab: feaberry
feag: feague
fecc: fecche
fech: fechnerian
ckul: feckulence
yeen: fedayeen
difr: fedifragous
fedn: fedn
feds: feds
feea: feeable
gstu: feedingstuff
fefn: fefnicute
efni: fefnicute
fnic: fefnicute
fegs: fegs
fehm: fehmic
ijoa: feijoa
feil: feil
elaf: felafel
wred: fellowred
lsob: felsobanyite
tyfl: feltyflier
eltn: feltness
elup: felup
femc: femcee
femp: fempty
feng: fengite
fenk: fenks
enks: fenks
fenr: fenrir
nrir: fenrir
fenu: fenugreek
enug: fenugreek
nugr: fenugreek
fenz: fenzelia
eods: feods
feow: feower
idji: feridji
ijee: ferijee
rnye: fernyear
rroh: ferrohydrocyanic
fese: fesels
fetw: fetwa
euag: feuage
feuc: feucht
eudu: feudum
feul: feulamort
wtri: fewtrils
feze: fezes
zziw: fezziwig
ziwi: fezziwig
fgri: fgrid
fhre: fhrer
fiad: fiador
iatc: fiatconfirmatio
fiau: fiaunt
fibd: fibdom
ibdo: fibdom
broh: fibrohemorrhagic
ficc: ficche
idaw: fidawi
fidf: fidfad
dfad: fidfad
dfig: fieldfight
rceh: fiercehearted
rcly: fiercly
fieu: fieulamort
fifo: fifo
ftyf: fiftyfold
gboy: figboy
figo: figo
figp: figpecker
gpec: figpecker
fikh: fikh
fots: fylfots
lgja: fylgja
lgju: fylgjur
gjur: fylgjur
lioq: filioque
fylk: fylker
leul: filleul
mgoi: filmgoing
lmsl: filmslide
filu: filum
finj: finjan
fipe: fipenny
fiqh: fiqh
firb: firbolg
firc: firca
yrdu: fyrdung
firy: firy
firl: firlot
irmh: firmhearted
irmw: firmware
firo: firoloida
rstb: firstborn
rstc: firstcomer
hpou: fishpound
shsk: fishskin
hski: fishskin
shsp: fishspear
hwiv: fishwives
fisn: fisnoga
fitr: fitroot
fitw: fitweed
tzcl: fitzclarence
zcla: fitzclarence
fivi: fivish
ixag: fixage
xatu: fixature
fixg: fixgig
ixgi: fixgig
xgig: fixgig
izzw: fizzwater
zzwa: fizzwater
zwat: fizzwater
fjar: fjarding
fjer: fjerding
jerd: fjerding
lagb: flagboat
agfa: flagfall
flaj: flajolotite
lajo: flajolotite
mfew: flamfew
mmiv: flammivomous
tnos: flatnose
vopr: flavoprotein
vopu: flavopurpurin
laxd: flaxdrop
axdr: flaxdrop
xdro: flaxdrop
laxm: flaxman
laxt: flaxtail
axta: flaxtail
xwen: flaxwench
xwif: flaxwife
fldx: fldxt
ldxt: fldxt
ecef: fleeceflower
eecy: fleecy
eshb: fleshbrush
hlil: fleshlily
eshq: fleshquake
bety: flibbertigibbety
icfl: flicflac
cfla: flicflac
flyn: flyness
ngdu: flingdust
lyof: flyoff
flio: flioma
lipj: flipjack
lixw: flixweed
ixwe: flixweed
atpl: floatplane
loey: floey
oerk: floerkea
floi: floit
loyt: floyt
flok: flokite
odpl: floodplain
wcon: flowcontrol
flri: flrie
luib: fluible
dgly: fluidglycerate
uyts: fluyts
ukil: flukily
mdid: flumdiddle
nkyd: flunkydom
nkyh: flunkyhood
kyit: flunkyite
kyiz: flunkyize
uoar: fluoarsenate
uobr: fluobromide
uoch: fluochloride
uorh: fluorhydric
flup: fluphenazine
lurn: flurn
uteb: flutebird
luty: fluty
viov: fluviovolcanic
luxg: fluxgraph
uxgr: fluxgraph
xgra: fluxgraph
luxm: fluxmeter
uxme: fluxmeter
xmet: fluxmeter
luxr: fluxroot
uxro: fluxroot
luxw: fluxweed
uxwe: fluxweed
fnam: fname
oamf: foamflower
fobs: fobs
focs: focsle
ocsl: focsle
csle: focsle
cusl: focusless
fode: foder
ehnl: foehnlike
hnli: foehnlike
foei: foeish
oenn: foenngreek
enng: foenngreek
nngr: foenngreek
fofa: fofarraw
gbou: fogbound
fogp: fogproof
ogru: fogrum
ogsc: fogscoffer
foyb: foyboat
oybo: foyboat
foit: foiter
fokk: fokker
folc: folcgemot
olcg: folcgemot
lcge: folcgemot
cgem: folcgemot
ldaw: foldaway
folg: folgerite
iagi: foliaging
liic: foliicolous
iico: foliicolous
olkb: folkboat
olkc: folkcraft
lkcr: folkcraft
olkf: folkfree
lkfr: folkfree
olkr: folkright
lksa: folksay
ksay: folksay
lkse: folksey
lksy: folksy
fols: folsom
foma: fomalhaut
onct: fonctionnaire
fonl: fonly
fono: fono
ontf: fontful
foob: foobar
ooyo: fooyoung
ooyu: fooyung
tfau: footfault
otfe: footfeed
otga: footganger
tgel: footgeld
otgl: footglove
fopd: fopdoodle
fopl: fopling
rbye: forbye
epsl: forcepslike
cepu: forceput
gahg: foregahger
ahge: foregahger
hger: foregahger
ehoc: forehock
esey: foresey
rfex: forfex
fouc: forfouchten
getn: forgetness
rjes: forjesket
jesk: forjesket
rksf: forksful
rlef: forleft
rmby: formby
mern: formerness
mnai: formnail
rmox: formoxime
rrue: forrue
thby: forthby
hcam: forthcame
hgaz: forthgaze
thpu: forthputting
ifys: fortifys
rtuu: fortuuned
tuun: fortuuned
uune: fortuuned
forv: forvay
rvay: forvay
orwh: forwhy
rwhy: forwhy
rwod: forwoden
orwr: forwrap
fosh: fosh
sslf: fosslfying
slfy: fosslfying
lfyi: fosslfying
slol: fosslology
foti: fotive
fotm: fotmal
fotu: fotui
ougu: fougue
ulbr: foulbrood
foum: foumart
rfiu: fourfiusher
fius: fourfiusher
iush: fourfiusher
ovei: foveiform
veif: foveiform
fowk: fowk
wlfo: fowlfoot
foxc: foxchop
xcho: foxchop
xery: foxery
oxfe: foxfeet
xfee: foxfeet
xfin: foxfinger
foxp: foxproof
oxpr: foxproof
foxw: foxwood
fozy: fozy
fplo: fplot
psps: fpsps
idyc: fraidycat
ilej: frailejon
rakf: frakfurt
kple: frankpledge
audp: fraudproof
fraw: frawn
axet: fraxetin
xinu: fraxinus
frde: frden
eeby: freeby
doot: freedoot
eefd: freefd
ekir: freekirker
eyci: freycinetia
eiez: freiezlebenhe
iezl: freiezlebenhe
zleb: freiezlebenhe
htya: freightyard
reyj: freyja
eyja: freyja
reij: freijo
reyr: freyr
emdl: fremdly
mdly: fremdly
emdn: fremdness
mdne: fremdness
remt: fremt
nzyi: frenzying
freo: freon
iedc: friedcake
chsd: friedrichsdor
hsdo: friedrichsdor
dliw: friendliwise
iezy: friezy
iezi: friezing
igag: frigage
gefo: fringefoot
risz: friszka
iszk: friszka
szka: friszka
hsok: frithsoken
tnie: fritniency
friu: friulian
riul: friulian
frix: frixion
rogb: frogbit
ogfl: frogflower
ogsp: frogspawn
rogt: frogtongue
rogw: frogwort
froh: frohlich
rohl: frohlich
frok: frokin
ntbe: frontbencher
frop: froppish
ouzy: frouzy
wsty: frowsty
wzle: frowzled
wzly: frowzly
frub: frubbish
uitb: fruitbearing
fruz: fruz
frwy: frwy
fsie: fsiest
fsto: fstore
fthm: fthm
ftnc: ftncmd
tncm: ftncmd
ncmd: ftncmd
fuag: fuage
hsit: fuchsite
fuds: fuds
fuer: fuerte
fugs: fugs
fuid: fuidhir
uidh: fuidhir
idhi: fuidhir
dhir: fuidhir
fuye: fuye
ujis: fujis
fuld: fulfulde
fulk: fulk
lbod: fullbodied
fulu: fulup
ulup: fulup
fulw: fulwa
fulz: fulzie
umew: fumewort
funb: funbre
funj: funje
funl: funli
furp: furphy
urud: furud
rzed: furzed
rzer: furzery
zeto: furzetop
urzy: furzy
fush: fusht
sobt: fusobteria
ilug: fustilugs
futw: futwa
zbal: fuzzball
uzzt: fuzztail
zzta: fuzztail
ztai: fuzztail
fwel: fwelling
gaat: gaatch
aatc: gaatch
lunz: gaberlunzie
gabg: gabgab
abga: gabgab
bgab: gabgab
ielr: gabrielrache
gabs: gabs
dbee: gadbee
dhel: gadhelic
gadl: gadling
gadm: gadman
dsbo: gadsbodikins
adsl: gadslid
adui: gaduin
gadz: gadzooks
aeld: gaeldom
aelt: gaeltacht
ffky: gaffkya
fkya: gaffkya
gagt: gagtooth
agto: gagtooth
gagw: gagwriter
agwr: gagwriter
gahr: gahrwali
ahrw: gahrwali
gayb: gaybine
gayc: gaycat
gayd: gaydiang
aydi: gaydiang
gaid: gaidropsaridae
aidr: gaidropsaridae
yety: gayety
gayy: gayyou
ayyo: gayyou
yyou: gayyou
gayi: gayish
gaym: gayment
gayp: gaypoo
gaiu: gaius
gaiz: gaize
ctem: galactemia
tuom: galantuomo
yacs: galyacs
ionj: galionji
poip: galipoipin
oipi: galipoipin
galj: galjoen
ljoe: galjoen
joen: galjoen
leyp: galleypot
riie: galleriies
iies: galleriies
ybeg: gallybeggar
ufry: gallimaufry
ufri: gallimaufries
ywas: gallywasp
owgl: gallowglass
wgla: gallowglass
owsn: gallowsness
wsne: gallowsness
wswa: gallowsward
alvv: galvvanoscopy
lvva: galvvanoscopy
vvan: galvvanoscopy
galz: galziekte
mdeb: gamdeboo
amge: gamgee
mgee: gamgee
amgi: gamgia
mgia: gamgia
mmex: gammexane
mexa: gammexane
tmee: gandertmeeth
dhia: gandhian
dhii: gandhiism
nefs: ganefs
nevs: ganevs
njas: ganjas
ntsl: gantsl
aolb: gaolbird
olbi: gaolbird
aols: gaols
gapy: gapy
arhw: garhwali
rhwa: garhwali
okuh: garookuh
arrn: garrnishable
rrni: garrnishable
arud: garuda
vanz: garvanzo
gasf: gasfiring
asfi: gasfiring
xyns: gastroxynsis
troz: gastrozooid
tewr: gatewright
gatl: gatling
tsby: gatsby
gaui: gauily
auil: gauily
gauk: gauk
uzew: gauzewing
auzy: gauzy
viif: gaviiformes
gavy: gavyuti
vyut: gavyuti
yuti: gavyuti
gawb: gawby
awby: gawby
awce: gawcey
wcey: gawcey
awci: gawcie
wcie: gawcie
gawg: gawgaw
awkh: gawkhammer
wkha: gawkhammer
wkih: gawkihood
gawm: gawm
gawp: gawp
awsy: gawsy
zang: gazangabin
azeh: gazehound
gazy: gazy
azoz: gazoz
gazu: gazump
zump: gazump
gebb: gebbie
ckoi: geckoid
cktw: gedecktwork
ktwo: gedecktwork
gedr: gedrite
geds: geds
geec: geechee
geej: geejee
lbek: geelbek
geet: geet
ltef: gefulltefish
ehey: gehey
imra: geheimrat
mrat: geheimrat
gehl: gehlenite
geya: geyan
geig: geiger
geyl: geylies
eitj: geitjie
itji: geitjie
geln: gelndesprung
elnd: gelndesprung
lnde: gelndesprung
ichk: gemutlichkeit
gemw: gemwork
emwo: gemwork
enek: geneki
neki: geneki
tmoi: genetmoil
viev: genevieve
enyp: genyplasty
enys: genys
izah: genizah
veva: genoveva
lhom: gentilhomme
upec: genupectoral
eoae: geoaesthesia
eoag: geoagronomic
eoem: geoemtry
oemt: geoemtry
emtr: geoemtry
mtry: geoemtry
metd: geometdecrne
etde: geometdecrne
tdec: geometdecrne
ecrn: geometdecrne
crne: geometdecrne
gepe: gepeoo
peoo: gepeoo
gerc: gercrow
ermf: germfree
rmfr: germfree
ermp: germproof
rvao: gervao
gesl: gesling
gesu: gesundheit
gesw: geswarp
etfd: getfd
etmj: getmjlkost
tmjl: getmjlkost
mjlk: getmjlkost
jlko: getmjlkost
getp: getpenny
etpe: getpenny
tysb: gettysburg
eull: geullah
gawy: gewgawy
gawr: gewgawry
geze: gezerah
rnao: gharnao
waze: ghawazee
azne: ghaznevid
znev: ghaznevid
raoi: gheraoing
hilz: ghilzai
ilza: ghilzai
lzai: ghilzai
ghio: ghiordes
ghru: ghrush
beux: giambeux
antk: giantkind
ntki: giantkind
yasc: gyascutus
giba: gibaro
bbus: gibbus
ibeo: gibeonite
beon: gibeonite
gybi: gybing
gibo: giboia
gibr: gibraltar
ddap: giddap
ddea: giddea
gidy: gidyea
gidj: gidjee
gied: gied
gifb: gifblaar
ifbl: gifblaar
fbla: gifblaar
laar: gifblaar
giff: giffgaff
iffg: giffgaff
ffga: giffgaff
fgaf: giffgaff
iftu: gifture
igav: gigavolt
gigb: gigback
gyge: gyges
gigf: gigful
gigh: gighe
ygis: gygis
gigt: gigtree
igtr: gigtree
giin: giinwale
iinw: giinwale
lguy: gilguy
liak: giliak
ygau: gillygaupus
ilpe: gilpey
lpey: gilpey
ilpy: gilpy
iltc: giltcup
tcup: giltcup
iltt: gilttail
ltta: gilttail
gilv: gilver
balj: gimbaljawed
mbaw: gimbawawed
wawe: gimbawawed
gymm: gymmal
gymp: gympie
ymsi: gymsia
ymsl: gymslip
eceu: gynaeceum
cicg: gynecicgynecidal
icgy: gynecicgynecidal
cgyn: gynecicgynecidal
glyf: ginglyform
nglm: ginglmi
glmi: ginglmi
kgoe: ginkgoes
ginm: ginmill
iumc: gynoeciumcia
mcia: gynoeciumcia
ginw: ginward
nzoe: ginzoes
gioj: giojoso
iojo: giojoso
joso: giojoso
gyok: gyokuro
giov: giovanni
gypa: gypaetus
gype: gype
yppo: gyppo
pseo: gypseous
sywi: gypsywise
fesq: giraffesque
ffoi: giraffoid
foid: giraffoid
girb: girba
girj: girja
irja: girja
girk: girkin
rlch: girlchild
rlfu: girlfully
irna: girnal
yrow: gyrowheel
gyse: gyse
gisp: gispin
emuk: gitanemuk
gyte: gyte
gitk: gitksan
itks: gitksan
tksa: gitksan
gytl: gytling
ytli: gytling
gytr: gytrash
gytt: gyttja
yttj: gyttja
ttja: gyttja
giul: giulio
giun: giunta
iunt: giunta
yves: gyves
gyvi: gyving
zmos: gizmos
zern: gizzern
gjed: gjedost
jedo: gjedost
cioa: glacioaqueous
ioaq: glacioaqueous
dkai: gladkaite
laie: glaieul
ketn: glaiketness
kitn: glaikitness
lasw: glaswegian
azew: glazework
ycyp: glycyphyllin
glys: glyster
tnir: glitnir
gloy: gloy
pnen: glopnen
ssok: glossokinesthetic
glub: glub
gluh: gluhwein
luhw: gluhwein
uhwe: gluhwein
luil: gluily
gluo: gluon
luon: gluon
ttei: gluttei
gnae: gnaeus
natf: gnatflower
natp: gnatproof
natw: gnatworm
gnow: gnow
goaf: goaf
goaj: goajiro
oaji: goajiro
jiro: goajiro
goar: goar
tpox: goatpox
tsbe: goatsbeard
egoo: gobbledegook
linr: goblinry
gobm: gobmouthed
gobu: goburra
dawf: godawful
ddiz: goddize
odfo: godforsaken
odfr: godfrey
godk: godkin
dsak: godsake
dsib: godsib
goeb: goebbels
oebb: goebbels
